"reportDate","civic_buildings.ext_destroyed","civic_buildings.daily_average_ext_destroyed","civic_buildings.estimated_cost_ext_destroyed","educational_buildings.ext_destroyed","educational_buildings.ext_damaged","educational_buildings.daily_average_ext_destroyed","educational_buildings.estimated_cost_ext_destroyed","educational_buildings.daily_average_ext_damaged","educational_buildings.estimated_cost_ext_damaged","places_of_worship.ext_mosques_destroyed","places_of_worship.ext_mosques_damaged","places_of_worship.ext_churches_destroyed","places_of_worship.daily_average_ext_mosques_destroyed","places_of_worship.estimated_cost_ext_mosques_destroyed","places_of_worship.daily_average_ext_mosques_damaged","places_of_worship.estimated_cost_ext_mosques_damaged","places_of_worship.daily_average_ext_churches_destroyed","places_of_worship.estimated_cost_ext_churches_destroyed","residential.ext_destroyed","residential.daily_average_ext_destroyed","residential.estimated_cost_ext_destroyed","residential.destroyed","civic_buildings.destroyed","educational_buildings.destroyed","educational_buildings.damaged","places_of_worship.mosques_destroyed","places_of_worship.mosques_damaged","places_of_worship.churches_destroyed"
"2023-10-07",5,0.019230769230769232,38275000,1,15,0.0038461538461538464,6089285.714285715,0.057692307692307696,23356164.38356164,2,4,"0",0.007692307692307693,6000000,0.015384615384615385,2000000,"0","0",80,0.3076923076923077,8000000,"0","0","0","0","0","0","0"
"2023-10-08",11,0.04230769230769231,84205000,1,30,0.0038461538461538464,6089285.714285715,0.11538461538461539,46712328.76712328,4,8,"0",0.015384615384615385,12000000,0.03076923076923077,4000000,"0","0",159,0.6115384615384616,15900000,159,"0","0","0","0","0","0"
"2023-10-09",16,0.06153846153846154,122480000,2,45,0.007692307692307693,12178571.42857143,0.17307692307692307,70068493.15068492,6,12,"0",0.023076923076923078,18000000,0.046153846153846156,6000000,"0","0",790,3.0384615384615383,79000000,790,"0","0","0","0","0","0"
"2023-10-10",22,0.08461538461538462,168410000,2,60,0.007692307692307693,12178571.42857143,0.23076923076923078,93424657.53424656,8,17,"0",0.03076923076923077,24000000,0.06538461538461539,8500000,"0","0",1009,3.8807692307692307,100900000,1009,"0","0","0","0","0","0"
"2023-10-11",27,0.10384615384615385,206685000,3,75,0.011538461538461539,18267857.14285714,0.28846153846153844,116780821.91780822,10,21,"0",0.038461538461538464,30000000,0.08076923076923077,10500000,"0","0",2835,10.903846153846153,283500000,2835,27,3,75,10,"0","0"
"2023-10-12",29,0.11153846153846154,221995000,3,75,0.011538461538461539,18267857.14285714,0.28846153846153844,116780821.91780822,10,25,"0",0.038461538461538464,30000000,0.09615384615384616,12500000,"0","0",4188,16.107692307692307,418800000,"0","0",3,75,10,"0","0"
"2023-10-13",31,0.11923076923076924,237305000,9,100,0.03461538461538462,54803571.42857143,0.38461538461538464,155707762.55707762,12,29,"0",0.046153846153846156,36000000,0.11153846153846154,14500000,"0","0",5540,21.307692307692307,554000000,5540,"0","0","0","0","0","0"
"2023-10-14",33,0.12692307692307692,252615000,14,124,0.05384615384615385,85250000,0.47692307692307695,193077625.57077625,14,33,"0",0.05384615384615385,42000000,0.12692307692307692,16500000,"0","0",7000,26.923076923076923,700000000,7000,"0",14,124,"0","0","0"
"2023-10-15",35,0.1346153846153846,267925000,14,143,0.05384615384615385,85250000,0.55,222662100.456621,16,37,"0",0.06153846153846154,48000000,0.1423076923076923,18500000,"0","0",8840,34,884000000,8840,"0",14,143,"0","0","0"
"2023-10-16",37,0.1423076923076923,283235000,18,150,0.06923076923076923,109607142.85714287,0.5769230769230769,233561643.83561644,18,41,1,0.06923076923076923,54000000,0.1576923076923077,20500000,0.0038461538461538464,3000000,10500,40.38461538461539,1050000000,10500,"0",18,150,"0","0","0"
