Date,Event Description,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Location of Incident,Number of Attacks on Health Facilities Reporting Destruction,Number of Attacks on Health Facilities Reporting Damaged,Forceful Entry into Health Facility,Occupation of Health Facility,Vicinity of Health Facility Affected,Health Transportation Destroyed,Health Transportation Damaged,Health Transportation Stolen/Hijacked,Looting/Theft/Robbery/Burglary of Health Supplies,Access Denied or Obstructed,Health Workers Killed,Health Workers Injured,Health Workers Kidnapped,Health Workers Arrested,Known Kidnapping or Arrest Outcome,Health Workers Threatened,Health Workers Assaulted,Health Workers Sexually Assaulted,Latitude,Longitude,Geo Precision
2024-06-04T00:00:00.000Z,04 June 2024: Israeli quadcopters dropped bombs at the gates of a hospital.,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Health Building,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,31.3478325696,34.2932331562,(2) 25 km Precision 
2024-06-03T00:00:00.000Z,03 June 2024: The vicinity of a hospital was hit by Israeli airstrikes.,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Health Building,0,0,0,0,1,0,0,0,0,0,0,0,0,0,null,0,0,0,31.3023150385,34.3195736658,(2) 25 km Precision 
2024-06-03T00:00:00.000Z,As reported on 03 June 2024: A hospital was impacted by shelling by suspected Israeli forces.,Host Government: Military,Israeli Defence Forces,Shelling,Health Building,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,31.5351927833,34.5093655515,(2) 25 km Precision 
2024-05-31T00:00:00.000Z,"As reported on 31 May 2024: A Malnutrition Stabilisation Centre completely ceased operations, with efforts to relocate its services to another location._x000D_
",Host Government: Military,Israeli Defence Forces,No Information on the Weapon Used,Open Space,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,31.3074484879,34.2412086597,(2) 25 km Precision 
2024-05-31T00:00:00.000Z,"31 May 2024: A PRCS employee was killed by Israeli bombardment on his home. _x000D_
",Host Government: Military,Israeli Defence Forces,Unspecified Explosive,Home,0,0,0,0,0,0,0,0,0,0,1,0,0,0,null,0,0,0,31.2752047000,34.2558269000,(2) 25 km Precision 
2024-05-31T00:00:00.000Z,"As reported on 31 May 2024: In Jabalia Refugee Camp, the fifth floor of an NGO hospital was completely destroyed.",Host Government: Military,Israeli Defence Forces,Unspecified Explosive,IDP/Refugee Camp,0,1,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,31.5338797038,34.5065653360,(2) 25 km Precision 
2024-05-31T00:00:00.000Z,As reported on 31 May 2024: A hospital and its medical equipment was severely damaged when two floors of the hospital were burnt upon Israeli withdrawal.,Host Government: Military,Israeli Defence Forces,Arson,Health Building,0,1,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,31.5351927833,34.5093655515,(2) 25 km Precision 
2024-05-31T00:00:00.000Z,As reported on 31 May 2024: A hospital was repurposed into an Israeli military base and command centre.,Host Government: Military,Israeli Defence Forces,Firearms,Health Building,0,0,0,1,0,0,0,0,0,0,0,0,0,0,null,0,0,0,31.5351927833,34.5093655515,(2) 25 km Precision 
2024-05-30T00:00:00.000Z,30 May 2024: An INGO primary care centre was forced to close due to Israeli military operations in the area.,Host Government: Military,Israeli Defence Forces,No Information on the Weapon Used,Open Space,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,31.3301789722,34.2309951782,(2) 25 km Precision 
2024-05-30T00:00:00.000Z,"May 2024: In Al Maghazi Refugee Camp, a UN-agency clinic was hit by Israeli artillery.",Host Government: Military,Israeli Defence Forces,Artillery,IDP/Refugee Camp,0,1,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,31.4202998318,34.3894547415,(2) 25 km Precision 
