name,ein,state,year,revenue,expenses,assetsEnd,liabilitiesEnd
Hebron Fund Inc,112623719,NY,2021,2592849,2262423,1227939,245153
Hebron Fund Inc,112623719,NY,2020,2884214,2616991,834737,196652
Hebron Fund Inc,112623719,NY,2019,2389748,2437441,441213,66178
Hebron Fund Inc,112623719,NY,2018,2259542,2160107,452872,29172
Hebron Fund Inc,112623719,NY,2017,2191859,2114198,334888,10623
Hebron Fund Inc,112623719,NY,2016,1234418,1382714,266798,20194
Hebron Fund Inc,112623719,NY,2015,1840273,2328975,399625,5125
Hebron Fund Inc,112623719,NY,2014,2249980,1627520,888327,5125
Hebron Fund Inc,112623719,NY,2013,2260488,2183009,265867,5125
Hebron Fund Inc,112623719,NY,2012,960496,1026676,188388,5125
Jewish National Fund  Keren Kayemeth Leisrael  Inc,131659627,NY,2021,140855420,84592863,532275365,56306968
Jewish National Fund  Keren Kayemeth Leisrael  Inc,131659627,NY,2020,107749637,82053990,470295230,56152513
Jewish National Fund  Keren Kayemeth Leisrael  Inc,131659627,NY,2019,94207214,85534855,445388280,58673278
Jewish National Fund  Keren Kayemeth Leisrael  Inc,131659627,NY,2018,87742757,71958657,442018123,60506146
Jewish National Fund  Keren Kayemeth Leisrael  Inc,131659627,NY,2017,95664313,73817124,417551247,56332291
Jewish National Fund  Keren Kayemeth Leisrael  Inc,131659627,NY,2016,81112863,66140269,385120940,58468574
Jewish National Fund  Keren Kayemeth Leisrael  Inc,131659627,NY,2015,205921292,61533372,369947299,61629872
Jewish National Fund  Keren Kayemeth Leisrael  Inc,131659627,NY,2014,73397269,60237753,231801215,58396527
Jewish National Fund  Keren Kayemeth Leisrael  Inc,131659627,NY,2013,103460271,47799572,210860142,67776938
Jewish National Fund  Keren Kayemeth Leisrael  Inc,131659627,NY,2012,68266837,44219567,136912441,53175007
Friends Of Ir David Inc,113466176,NY,2021,8657861,9470298,1931131,13287
Friends Of Ir David Inc,113466176,NY,2020,14389629,11594871,2742781,12500
Friends Of Ir David Inc,113466176,NY,2019,29978219,30153809,2184551,0
Friends Of Ir David Inc,113466176,NY,2018,19563196,21279833,2516531,13612
Friends Of Ir David Inc,113466176,NY,2017,10730916,9687068,4244056,24309
Friends Of Ir David Inc,113466176,NY,2016,6166554,7739291,3192082,16349
Friends Of Ir David Inc,113466176,NY,2015,5138788,5775520,4761056,12731
Friends Of Ir David Inc,113466176,NY,2014,12930762,9897636,5400111,16763
Friends Of Ir David Inc,113466176,NY,2013,6551532,3612031,3239734,23966
Friends Of Ir David Inc,113466176,NY,2012,5884950,5828003,302408,27641
American Friends Of Ateret Cohanem Inc,112706563,NY,2021,752526,870662,372407,1211
American Friends Of Ateret Cohanem Inc,112706563,NY,2020,1217549,856794,495757,5214
American Friends Of Ateret Cohanem Inc,112706563,NY,2018,1651645,1101030,574997,0
American Friends Of Ateret Cohanem Inc,112706563,NY,2017,906479,867958,61464,37082
American Friends Of Ateret Cohanem Inc,112706563,NY,2016,799787,764140,29136,39274
American Friends Of Ateret Cohanem Inc,112706563,NY,2015,614350,614597,25125,68910
American Friends Of Ateret Cohanem Inc,112706563,NY,2014,613475,929136,34175,77577
American Friends Of Ateret Cohanem Inc,112706563,NY,2013,1036408,833252,320414,47919
American Friends Of Ateret Cohanem Inc,112706563,NY,2012,966158,888523,107442,38485
American Friends Of Ateret Cohanem Inc,112706563,NY,2011,1208940,1271700,36852,40444
Central Fund Of Israel,132992985,NY,2022,55454981,55173972,25861859,0
Central Fund Of Israel,132992985,NY,2021,48947790,44850305,25580850,0
Central Fund Of Israel,132992985,NY,2020,48219177,42439185,21483365,0
Central Fund Of Israel,132992985,NY,2019,39602245,36651475,15703373,0
Central Fund Of Israel,132992985,NY,2018,31996189,28717857,12752603,0
Central Fund Of Israel,132992985,NY,2017,20289725,18476227,9474271,0
Central Fund Of Israel,132992985,NY,2016,23188118,24839590,7660773,0
Central Fund Of Israel,132992985,NY,2015,25665566,22857379,8320314,0
Central Fund Of Israel,132992985,NY,2014,19681034,18193417,5512127,0
Central Fund Of Israel,132992985,NY,2013,16134210,15817513,4024510,0
Jgive Friends Of Asor Fund Usa Inc,810757923,null,2021,11909625,14033297,3714986,0
Jgive Friends Of Asor Fund Usa Inc,810757923,null,2020,12210454,8650963,5838658,0
Jgive Friends Of Asor Fund Usa Inc,810757923,null,2019,5129809,3430500,2279167,0
Jgive Friends Of Asor Fund Usa Inc,810757923,null,2018,1998606,1994455,219244,0
Jgive Friends Of Asor Fund Usa Inc,810757923,null,2017,1013239,799608,215093,0
Jgive Friends Of Asor Fund Usa Inc,810757923,null,2016,0,0,348,0
Birthright Israel Foundation,134092050,NY,2021,44527782,33798127,97221190,2158847
Birthright Israel Foundation,134092050,NY,2020,62541873,37473516,86786716,2040551
Birthright Israel Foundation,134092050,NY,2019,98977700,93996365,64474727,2055715
Birthright Israel Foundation,134092050,NY,2018,121102946,96221875,61152262,3959302
Birthright Israel Foundation,134092050,NY,2017,96908299,93802993,35094701,2722649
Birthright Israel Foundation,134092050,NY,2016,96827173,98592432,31529353,2262607
Birthright Israel Foundation,134092050,NY,2015,83932290,95654760,32621882,1589877
Birthright Israel Foundation,134092050,NY,2014,123559105,95815159,64305847,21551372
Birthright Israel Foundation,134092050,NY,2013,74257356,88026793,16412609,1402080
Birthright Israel Foundation,134092050,NY,2012,101960863,87189303,30000420,1220454
Friends Of The Israel Defense Forces,133156445,NY,2021,87861352,88567512,197064966,22985836
Friends Of The Israel Defense Forces,133156445,NY,2020,60260778,77982677,205518982,35287566
Friends Of The Israel Defense Forces,133156445,NY,2019,87328830,109593070,218832496,17900511
Friends Of The Israel Defense Forces,133156445,NY,2018,132682425,99315325,238648784,19875502
Friends Of The Israel Defense Forces,133156445,NY,2017,122871409,96974455,213323970,22896641
Friends Of The Israel Defense Forces,133156445,NY,2016,111165022,86329678,190307163,22117330
